table,data
label,"{""concept_id"": ""suspense_core"", ""concept_name"": ""Suspense (Part 1)"", ""set"": ""Narrative"", ""type"": ""element"", ""definition"": ""Weaponized uncertainty that stretches a charged question by managing knowledge gaps and release timing."", ""axes"": ""question_type|knowledge_gap|intensity|release_timing"", ""axis_values"": ""truth|threat|love|identity|outcome | reader_gt_character|character_gt_reader|even | low|mid|high | early|mid|late"", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_question_type_truth"", ""signal_type"": ""textual_cue"", ""axis_value"": ""question_type:truth"", ""description"": ""question_type ⇒ truth"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_question_type_threat"", ""signal_type"": ""textual_cue"", ""axis_value"": ""question_type:threat"", ""description"": ""question_type ⇒ threat"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_question_type_love"", ""signal_type"": ""textual_cue"", ""axis_value"": ""question_type:love"", ""description"": ""question_type ⇒ love"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_question_type_identity"", ""signal_type"": ""textual_cue"", ""axis_value"": ""question_type:identity"", ""description"": ""question_type ⇒ identity"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_question_type_outcome"", ""signal_type"": ""textual_cue"", ""axis_value"": ""question_type:outcome"", ""description"": ""question_type ⇒ outcome"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_knowledge_gap_reader_gt_character"", ""signal_type"": ""textual_cue"", ""axis_value"": ""knowledge_gap:reader_gt_character"", ""description"": ""knowledge_gap ⇒ reader_gt_character"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_knowledge_gap_character_gt_reader"", ""signal_type"": ""textual_cue"", ""axis_value"": ""knowledge_gap:character_gt_reader"", ""description"": ""knowledge_gap ⇒ character_gt_reader"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_knowledge_gap_even"", ""signal_type"": ""textual_cue"", ""axis_value"": ""knowledge_gap:even"", ""description"": ""knowledge_gap ⇒ even"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_intensity_low"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""intensity:low"", ""description"": ""intensity ⇒ low"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_intensity_mid"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""intensity:mid"", ""description"": ""intensity ⇒ mid"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_intensity_high"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""intensity:high"", ""description"": ""intensity ⇒ high"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_release_timing_early"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""release_timing:early"", ""description"": ""release_timing ⇒ early"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_release_timing_mid"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""release_timing:mid"", ""description"": ""release_timing ⇒ mid"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""concept_id"": ""suspense_core"", ""signal_id"": ""sig_release_timing_late"", ""signal_type"": ""structural_pattern"", ""axis_value"": ""release_timing:late"", ""description"": ""release_timing ⇒ late"", ""detection_hint"": """", ""false_positive_risks"": """", ""minimal_example"": """", ""counterexample"": """", ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""blueprint_id"": ""bp_suspense_map"", ""concept_id"": ""suspense_core"", ""cognitive_goal"": ""analyze"", ""task_type"": ""order"", ""prompt_template"": ""Identify the core question, knowledge gap, and current intensity in a scene; propose a release point."", ""expected_features"": ""Accurate map; justified release timing."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""question_type|knowledge_gap|intensity|release_timing"", ""difficulty"": 2, ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
label,"{""blueprint_id"": ""bp_withhold_tune"", ""concept_id"": ""suspense_core"", ""cognitive_goal"": ""revise"", ""task_type"": ""transform"", ""prompt_template"": ""Withhold one fact longer without cheating; add one fair cue."", ""expected_features"": ""Tension rises; fairness preserved."", ""scoring_method"": ""pattern|rubric"", ""rubric_levels"": {""Exceeds"": ""Accurate + justified"", ""Meets"": ""Mostly correct"", ""Developing"": ""Vague/incorrect""}, ""variation_axes"": ""question_type|knowledge_gap|intensity|release_timing"", ""difficulty"": 2, ""source_file"": ""Suspense Part 1.md"", ""source_md5"": ""52f8616a9f8ebaaa139a7e9f568fa0a3"", ""last_modified_iso"": ""2025-09-30T20:59:14.515094Z""}"
